date;scenario;macro_categ;final_rate_service;duration_in_sec;pref_elic_duration_in_sec;recomm_duration_in_sec;number_interactions;has_user_perfermed_a_healthy_choice;nutri_score;fsa_score;id_dish_choice;user_constraints;proposal_random_1;proposal_random_2;proposal_random_3;proposal_random_4;proposal_random_5;number_skips;number_likes;all_dishes_shown_pref_elic;url_dishes_pairwise_comparisons;final_dish_not_chosen
24/06/2022 12:10:22;Scenario Textual;Dessert;5;97;29;21;6;True;B;6;http://allrecipes.com/recipe/floating-islands-ii/detail.aspx;onion,tomato;http://allrecipes.com/recipe/white-chocolate-raspberry-cheesecake/detail.aspx;http://allrecipes.com/recipe/white-chip-chocolate-cookies/detail.aspx;http://allrecipes.com/recipe/pumpkin-upside-down-cake/detail.aspx;http://allrecipes.com/recipe/caramel-sea-salt-dark-chocolate-coins/detail.aspx;http://allrecipes.com/recipe/banana-and-vanilla-cupcakes-with-buttercream-frosting/detail.aspx;6;5;http://allrecipes.com/recipe/white-chocolate-raspberry-cheesecake/detail.aspx,http://allrecipes.com/recipe/white-chip-chocolate-cookies/detail.aspx,http://allrecipes.com/recipe/monster-cookies-vii/detail.aspx,http://allrecipes.com/recipe/pineapple-pound-cake/detail.aspx,http://allrecipes.com/recipe/apple-crisp-ii/detail.aspx,http://allrecipes.com/recipe/amys-chocolate-chip-cookies/detail.aspx,http://allrecipes.com/recipe/rich-chocolate-cupcake/detail.aspx,http://allrecipes.com/recipe/sunrise-salad/detail.aspx,http://allrecipes.com/recipe/pumpkin-upside-down-cake/detail.aspx,http://allrecipes.com/recipe/caramel-sea-salt-dark-chocolate-coins/detail.aspx,http://allrecipes.com/recipe/banana-and-vanilla-cupcakes-with-buttercream-frosting/detail.aspx;http://allrecipes.com/recipe/chef-johns-chocolate-lava-cake/detail.aspx - http://allrecipes.com/recipe/floating-islands-ii/detail.aspx;http://allrecipes.com/recipe/chef-johns-chocolate-lava-cake/detail.aspx
24/06/2022 12:12:34;Scenario Textual;Salad;4;85;30;13;6;False;B;8;http://allrecipes.com/recipe/sweet-and-savory-broccoli-salad/detail.aspx;yes iam maintaining diet,Lactose;http://allrecipes.com/recipe/broccoli-cashew-salad/detail.aspx;http://allrecipes.com/recipe/refreshing-cucumber-salad/detail.aspx;http://allrecipes.com/recipe/spinach-and-mushroom-salad/detail.aspx;http://allrecipes.com/recipe/my-little-secret/detail.aspx;http://allrecipes.com/recipe/crunchy-lettuce/detail.aspx;0;5;http://allrecipes.com/recipe/broccoli-cashew-salad/detail.aspx,http://allrecipes.com/recipe/refreshing-cucumber-salad/detail.aspx,http://allrecipes.com/recipe/spinach-and-mushroom-salad/detail.aspx,http://allrecipes.com/recipe/my-little-secret/detail.aspx,http://allrecipes.com/recipe/crunchy-lettuce/detail.aspx;http://allrecipes.com/recipe/sweet-and-savory-broccoli-salad/detail.aspx - http://allrecipes.com/recipe/iceberg-wedge-salad-with-warm-bacon-dressing/detail.aspx;http://allrecipes.com/recipe/iceberg-wedge-salad-with-warm-bacon-dressing/detail.aspx
24/06/2022 12:13:18;Scenario Textual;Pasta;5;69;17;16;6;False;B;8;http://allrecipes.com/recipe/red-pepper-pesto-pasta/detail.aspx;;http://allrecipes.com/recipe/bow-tie-medley/detail.aspx;http://allrecipes.com/recipe/roasted-potato-cauliflower-pasta/detail.aspx;http://allrecipes.com/recipe/ziti-with-tomato-pesto-sauce/detail.aspx;http://allrecipes.com/recipe/salami-and-kalamata-primavera-salad/detail.aspx;http://allrecipes.com/recipe/rapini-walnut-macaroni/detail.aspx;2;5;http://allrecipes.com/recipe/lasagna/detail.aspx,http://allrecipes.com/recipe/bow-tie-medley/detail.aspx,http://allrecipes.com/recipe/roasted-potato-cauliflower-pasta/detail.aspx,http://allrecipes.com/recipe/ziti-with-tomato-pesto-sauce/detail.aspx,http://allrecipes.com/recipe/salami-and-kalamata-primavera-salad/detail.aspx,http://allrecipes.com/recipe/spaghetti-with-broccoli-and-chicken/detail.aspx,http://allrecipes.com/recipe/rapini-walnut-macaroni/detail.aspx;http://allrecipes.com/recipe/red-pepper-pesto-pasta/detail.aspx - http://allrecipes.com/recipe/nicoles-chicken-pasta/detail.aspx;http://allrecipes.com/recipe/nicoles-chicken-pasta/detail.aspx
24/06/2022 12:13:30;Scenario Textual;Pasta;2;53;26;6;6;False;A;7;http://allrecipes.com/recipe/quick-creamy-spinach-and-tomato-pasta/detail.aspx;Meat,Lactose;http://allrecipes.com/recipe/ramen-noodle-salad/detail.aspx;http://allrecipes.com/recipe/creamy-spinach-pasta/detail.aspx;http://allrecipes.com/recipe/dads-pad-thai/detail.aspx;http://allrecipes.com/recipe/rutabaga-salad/detail.aspx;http://allrecipes.com/recipe/linguine-with-fresh-sage-caper-sauce/detail.aspx;0;5;http://allrecipes.com/recipe/ramen-noodle-salad/detail.aspx,http://allrecipes.com/recipe/creamy-spinach-pasta/detail.aspx,http://allrecipes.com/recipe/dads-pad-thai/detail.aspx,http://allrecipes.com/recipe/rutabaga-salad/detail.aspx,http://allrecipes.com/recipe/linguine-with-fresh-sage-caper-sauce/detail.aspx;http://allrecipes.com/recipe/quick-creamy-spinach-and-tomato-pasta/detail.aspx - http://allrecipes.com/recipe/marinara-with-white-wine/detail.aspx;http://allrecipes.com/recipe/marinara-with-white-wine/detail.aspx
24/06/2022 12:16:18;Scenario Textual;Salad;5;132;15;11;6;False;A;6;http://allrecipes.com/recipe/summer-anytime-crisp-corn-salad/detail.aspx;yes i'm maintaining diet,Meat;http://allrecipes.com/recipe/caribbean-sweet-potato-salad/detail.aspx;http://allrecipes.com/recipe/german-wurst-salad/detail.aspx;http://allrecipes.com/recipe/veggie-bulgur-salad-kisir/detail.aspx;http://allrecipes.com/recipe/pipirrana-spanish-potato-salad/detail.aspx;http://allrecipes.com/recipe/seafood-salad-iii/detail.aspx;0;5;http://allrecipes.com/recipe/caribbean-sweet-potato-salad/detail.aspx,http://allrecipes.com/recipe/german-wurst-salad/detail.aspx,http://allrecipes.com/recipe/veggie-bulgur-salad-kisir/detail.aspx,http://allrecipes.com/recipe/pipirrana-spanish-potato-salad/detail.aspx,http://allrecipes.com/recipe/seafood-salad-iii/detail.aspx;http://allrecipes.com/recipe/summer-anytime-crisp-corn-salad/detail.aspx - http://allrecipes.com/recipe/french-cafe-summer-salad/detail.aspx;http://allrecipes.com/recipe/french-cafe-summer-salad/detail.aspx
24/06/2022 12:24:11;Scenario Textual;Salad;5;202;19;10;6;False;B;6;http://allrecipes.com/recipe/refreshing-cucumber-salad/detail.aspx;yes i am maintaining diet,Lactose;http://allrecipes.com/recipe/sweet-and-sour-coleslaw/detail.aspx;http://allrecipes.com/recipe/tomato-cucumber-onion-salad/detail.aspx;http://allrecipes.com/recipe/warm-italian-potato-salad/detail.aspx;http://allrecipes.com/recipe/easy-and-quick-strawberry-summer-salad/detail.aspx;http://allrecipes.com/recipe/grandpa-buicks-famous-potato-salad/detail.aspx;0;5;http://allrecipes.com/recipe/sweet-and-sour-coleslaw/detail.aspx,http://allrecipes.com/recipe/tomato-cucumber-onion-salad/detail.aspx,http://allrecipes.com/recipe/warm-italian-potato-salad/detail.aspx,http://allrecipes.com/recipe/easy-and-quick-strawberry-summer-salad/detail.aspx,http://allrecipes.com/recipe/grandpa-buicks-famous-potato-salad/detail.aspx;http://allrecipes.com/recipe/refreshing-cucumber-salad/detail.aspx - http://allrecipes.com/recipe/baked-eggplant-salad/detail.aspx;http://allrecipes.com/recipe/baked-eggplant-salad/detail.aspx
24/06/2022 12:25:07;Scenario Textual;Pasta;4;63;21;4;6;False;A;5;http://allrecipes.com/recipe/tomato-and-basil-pasta-sauce/detail.aspx;yes iam diet maintaing,Lactose;http://allrecipes.com/recipe/macaroni-pineapple-and-ham-salad/detail.aspx;http://allrecipes.com/recipe/vegan-lentil-kale-and-red-onion-pasta/detail.aspx;http://allrecipes.com/recipe/balsamic-chicken-and-pasta/detail.aspx;http://allrecipes.com/recipe/dads-pad-thai/detail.aspx;http://allrecipes.com/recipe/nicoles-chicken-pasta/detail.aspx;0;5;http://allrecipes.com/recipe/macaroni-pineapple-and-ham-salad/detail.aspx,http://allrecipes.com/recipe/vegan-lentil-kale-and-red-onion-pasta/detail.aspx,http://allrecipes.com/recipe/balsamic-chicken-and-pasta/detail.aspx,http://allrecipes.com/recipe/dads-pad-thai/detail.aspx,http://allrecipes.com/recipe/nicoles-chicken-pasta/detail.aspx;http://allrecipes.com/recipe/tomato-and-basil-pasta-sauce/detail.aspx - http://allrecipes.com/recipe/summer-penne-pasta/detail.aspx;http://allrecipes.com/recipe/summer-penne-pasta/detail.aspx
24/06/2022 12:49:37;Scenario Textual;Salad;5;132;17;32;6;False;A;5;http://allrecipes.com/recipe/persian-style-tomato-avocado-salad/detail.aspx;Seafood;http://allrecipes.com/recipe/awesome-summer-watermelon-salad/detail.aspx;http://allrecipes.com/recipe/apple-brie-and-walnut-salad/detail.aspx;http://allrecipes.com/recipe/spicy-southwest-chopped-salad-with-salsa-verde/detail.aspx;http://allrecipes.com/recipe/french-lentil-salad-with-goat-cheese/detail.aspx;http://allrecipes.com/recipe/cobb-salad/detail.aspx;0;5;http://allrecipes.com/recipe/awesome-summer-watermelon-salad/detail.aspx,http://allrecipes.com/recipe/apple-brie-and-walnut-salad/detail.aspx,http://allrecipes.com/recipe/spicy-southwest-chopped-salad-with-salsa-verde/detail.aspx,http://allrecipes.com/recipe/french-lentil-salad-with-goat-cheese/detail.aspx,http://allrecipes.com/recipe/cobb-salad/detail.aspx;http://allrecipes.com/recipe/persian-style-tomato-avocado-salad/detail.aspx - http://allrecipes.com/recipe/warm-sweet-potato-salad/detail.aspx;http://allrecipes.com/recipe/warm-sweet-potato-salad/detail.aspx
24/06/2022 13:03:16;Scenario Textual;Pasta;4;44;11;11;6;False;A;6;http://allrecipes.com/recipe/simple-spinach-lasagna/detail.aspx;mushrooms;http://allrecipes.com/recipe/alfredo-sauce-2/detail.aspx;http://allrecipes.com/recipe/turkey-ragu-with-fontina-and-parmesan/detail.aspx;http://allrecipes.com/recipe/shortcut-lasagna-2/detail.aspx;http://allrecipes.com/recipe/chicken-and-broccoli-pasta/detail.aspx;http://allrecipes.com/recipe/awesome-easy-pasta/detail.aspx;0;5;http://allrecipes.com/recipe/alfredo-sauce-2/detail.aspx,http://allrecipes.com/recipe/turkey-ragu-with-fontina-and-parmesan/detail.aspx,http://allrecipes.com/recipe/shortcut-lasagna-2/detail.aspx,http://allrecipes.com/recipe/chicken-and-broccoli-pasta/detail.aspx,http://allrecipes.com/recipe/awesome-easy-pasta/detail.aspx;http://allrecipes.com/recipe/simple-spinach-lasagna/detail.aspx - http://allrecipes.com/recipe/chicken-penne-italiano/detail.aspx;http://allrecipes.com/recipe/chicken-penne-italiano/detail.aspx
24/06/2022 13:04:18;Scenario Textual;Pasta;5;122;52;35;6;True;A;5;http://allrecipes.com/recipe/lisas-lasagne/detail.aspx;;http://allrecipes.com/recipe/easy-chicken-alfredo/detail.aspx;http://allrecipes.com/recipe/tomato-vodka-sauce/detail.aspx;http://allrecipes.com/recipe/tortellini-steak-and-caesar/detail.aspx;http://allrecipes.com/recipe/healthier-macaroni-and-cheese/detail.aspx;http://allrecipes.com/recipe/broccoli-mac-and-cheese-with-bacon-and-potato-nugget-topping/detail.aspx;12;5;http://allrecipes.com/recipe/jims-birthday-pasta-salad/detail.aspx,http://allrecipes.com/recipe/spinach-and-tortellini-salad/detail.aspx,http://allrecipes.com/recipe/baked-ziti-iii/detail.aspx,http://allrecipes.com/recipe/noodles-and-eggs/detail.aspx,http://allrecipes.com/recipe/blt-bow-tie-salad/detail.aspx,http://allrecipes.com/recipe/fresh-summertime-bow-tie-ham-salad/detail.aspx,http://allrecipes.com/recipe/easy-chicken-alfredo/detail.aspx,http://allrecipes.com/recipe/tomato-vodka-sauce/detail.aspx,http://allrecipes.com/recipe/tortellini-steak-and-caesar/detail.aspx,http://allrecipes.com/recipe/tuna-mac/detail.aspx,http://allrecipes.com/recipe/quick-creamy-spinach-and-tomato-pasta/detail.aspx,http://allrecipes.com/recipe/sauceless-garden-lasagna/detail.aspx,http://allrecipes.com/recipe/chicken-sausage-and-zucchini-pasta/detail.aspx,http://allrecipes.com/recipe/rainbow-pasta-salad-i/detail.aspx,http://allrecipes.com/recipe/basil-cream-sauce/detail.aspx,http://allrecipes.com/recipe/healthier-macaroni-and-cheese/detail.aspx,http://allrecipes.com/recipe/broccoli-mac-and-cheese-with-bacon-and-potato-nugget-topping/detail.aspx;http://allrecipes.com/recipe/vincentes-macaroni-and-cheese/detail.aspx - http://allrecipes.com/recipe/lisas-lasagne/detail.aspx;http://allrecipes.com/recipe/vincentes-macaroni-and-cheese/detail.aspx
24/06/2022 13:08:07;Scenario Textual;Salad;5;74;31;9;6;False;C;5;http://allrecipes.com/recipe/grandmothers-sour-cream-cucumber-salad/detail.aspx;Meat,Alcohol,Lactose,Seafood;http://allrecipes.com/recipe/potato-salad-with-chives/detail.aspx;http://allrecipes.com/recipe/tofu-salad/detail.aspx;http://allrecipes.com/recipe/beet-summer-salad/detail.aspx;http://allrecipes.com/recipe/cucumber-sunomono/detail.aspx;http://allrecipes.com/recipe/10-minute-tomato-basil-salad/detail.aspx;1;5;http://allrecipes.com/recipe/potato-salad-with-chives/detail.aspx,http://allrecipes.com/recipe/tofu-salad/detail.aspx,http://allrecipes.com/recipe/beet-summer-salad/detail.aspx,http://allrecipes.com/recipe/cucumber-sunomono/detail.aspx,http://allrecipes.com/recipe/sunflower-coleslaw/detail.aspx,http://allrecipes.com/recipe/10-minute-tomato-basil-salad/detail.aspx;http://allrecipes.com/recipe/grandmothers-sour-cream-cucumber-salad/detail.aspx - http://allrecipes.com/recipe/thai-cucumber-tomato-salad/detail.aspx;http://allrecipes.com/recipe/thai-cucumber-tomato-salad/detail.aspx
24/06/2022 13:11:19;Scenario Textual;Pasta;;304;17;60;7;False;C;8;http://allrecipes.com/recipe/vincentes-macaroni-and-cheese/detail.aspx;Alcohol;http://allrecipes.com/recipe/spam-on-the-go/detail.aspx;http://allrecipes.com/recipe/south-of-the-border-mac-and-cheese/detail.aspx;http://allrecipes.com/recipe/ziti-and-eggplant/detail.aspx;http://allrecipes.com/recipe/chicken-sausage-and-zucchini-pasta/detail.aspx;http://allrecipes.com/recipe/sloppy-joe-mac-and-cheese/detail.aspx;0;5;http://allrecipes.com/recipe/spam-on-the-go/detail.aspx,http://allrecipes.com/recipe/south-of-the-border-mac-and-cheese/detail.aspx,http://allrecipes.com/recipe/ziti-and-eggplant/detail.aspx,http://allrecipes.com/recipe/chicken-sausage-and-zucchini-pasta/detail.aspx,http://allrecipes.com/recipe/sloppy-joe-mac-and-cheese/detail.aspx;http://allrecipes.com/recipe/vincentes-macaroni-and-cheese/detail.aspx - http://allrecipes.com/recipe/herbed-chicken-pasta/detail.aspx;http://allrecipes.com/recipe/herbed-chicken-pasta/detail.aspx
24/06/2022 13:15:37;Scenario Textual;Pasta;3;109;35;12;6;True;B;5;http://allrecipes.com/recipe/marinara-with-white-wine/detail.aspx;nothing,Meat;http://allrecipes.com/recipe/tortellini-southwest/detail.aspx;http://allrecipes.com/recipe/easy-sriracha-noodles/detail.aspx;http://allrecipes.com/recipe/pesto-tofu-pasta/detail.aspx;http://allrecipes.com/recipe/fettuccine-alfredo-iii/detail.aspx;http://allrecipes.com/recipe/linguine-with-garlicky-white-clam-sauce/detail.aspx;2;5;http://allrecipes.com/recipe/tortellini-southwest/detail.aspx,http://allrecipes.com/recipe/rutabaga-salad/detail.aspx,http://allrecipes.com/recipe/easy-sriracha-noodles/detail.aspx,http://allrecipes.com/recipe/pesto-tofu-pasta/detail.aspx,http://allrecipes.com/recipe/the-best-clam-sauce/detail.aspx,http://allrecipes.com/recipe/fettuccine-alfredo-iii/detail.aspx,http://allrecipes.com/recipe/linguine-with-garlicky-white-clam-sauce/detail.aspx;http://allrecipes.com/recipe/florentine-fettuccini/detail.aspx - http://allrecipes.com/recipe/marinara-with-white-wine/detail.aspx;http://allrecipes.com/recipe/florentine-fettuccini/detail.aspx
24/06/2022 13:16:03;Scenario Textual;Pasta;5;136;18;66;7;False;A;6;http://allrecipes.com/recipe/fire-roasted-tomato-and-spinach-pasta/detail.aspx;black peas;http://allrecipes.com/recipe/tonys-summer-pasta-2/detail.aspx;http://allrecipes.com/recipe/pasta-with-roasted-butternut-squash-and-sage/detail.aspx;http://allrecipes.com/recipe/spinach-and-pasta-shells/detail.aspx;http://allrecipes.com/recipe/tuna-mac/detail.aspx;http://allrecipes.com/recipe/sweet-and-sour-pasta-salad/detail.aspx;2;5;http://allrecipes.com/recipe/tonys-summer-pasta-2/detail.aspx,http://allrecipes.com/recipe/pasta-with-roasted-butternut-squash-and-sage/detail.aspx,http://allrecipes.com/recipe/microwave-macaroni-and-cheese/detail.aspx,http://allrecipes.com/recipe/spinach-and-pasta-shells/detail.aspx,http://allrecipes.com/recipe/tuna-mac/detail.aspx,http://allrecipes.com/recipe/cold-spaghetti-salad/detail.aspx,http://allrecipes.com/recipe/sweet-and-sour-pasta-salad/detail.aspx;http://allrecipes.com/recipe/fire-roasted-tomato-and-spinach-pasta/detail.aspx - http://allrecipes.com/recipe/tomato-and-basil-pasta-sauce/detail.aspx;http://allrecipes.com/recipe/tomato-and-basil-pasta-sauce/detail.aspx
24/06/2022 13:24:00;Scenario Textual;Dessert;4;98;50;18;6;True;B;6;http://allrecipes.com/recipe/floating-islands-ii/detail.aspx;;http://allrecipes.com/recipe/best-ever-chocolate-chip-cookies-i/detail.aspx;http://allrecipes.com/recipe/how-to-make-vanilla-ice-cream/detail.aspx;http://allrecipes.com/recipe/key-lime-rum-cake/detail.aspx;http://allrecipes.com/recipe/coconut-macaroons-german-style/detail.aspx;http://allrecipes.com/recipe/peanut-butter-blossoms/detail.aspx;9;5;http://allrecipes.com/recipe/best-ever-chocolate-chip-cookies-i/detail.aspx,http://allrecipes.com/recipe/fudge-cake/detail.aspx,http://allrecipes.com/recipe/how-to-make-vanilla-ice-cream/detail.aspx,http://allrecipes.com/recipe/checkerboard-cookies-ii/detail.aspx,http://allrecipes.com/recipe/fabulously-sweet-pear-cake/detail.aspx,http://allrecipes.com/recipe/champagne-salad/detail.aspx,http://allrecipes.com/recipe/apricot-balls/detail.aspx,http://allrecipes.com/recipe/key-lime-rum-cake/detail.aspx,http://allrecipes.com/recipe/zebra-cake-2/detail.aspx,http://allrecipes.com/recipe/taffy-apple-salad-iv/detail.aspx,http://allrecipes.com/recipe/coconut-macaroons-german-style/detail.aspx,http://allrecipes.com/recipe/raspberry-walnut-torte/detail.aspx,http://allrecipes.com/recipe/double-chocolate-brownie-cake/detail.aspx,http://allrecipes.com/recipe/peanut-butter-blossoms/detail.aspx;http://allrecipes.com/recipe/scottleys-basic-yellow-cake/detail.aspx - http://allrecipes.com/recipe/floating-islands-ii/detail.aspx;http://allrecipes.com/recipe/scottleys-basic-yellow-cake/detail.aspx
24/06/2022 13:24:48;Scenario Textual;Salad;4;71;22;9;6;True;A;4;http://allrecipes.com/recipe/thai-cucumber-tomato-salad/detail.aspx;salad ðŸ¥—;http://allrecipes.com/recipe/balsamic-and-herb-quinoa-salad/detail.aspx;http://allrecipes.com/recipe/corn-and-kale-salad/detail.aspx;http://allrecipes.com/recipe/easy-carrot-salad-indian-style/detail.aspx;http://allrecipes.com/recipe/crunchy-turkey-salad/detail.aspx;http://allrecipes.com/recipe/avocado-and-lobster-salad-2/detail.aspx;3;5;http://allrecipes.com/recipe/easy-dorito-taco-salad/detail.aspx,http://allrecipes.com/recipe/beet-and-cucumber-salad/detail.aspx,http://allrecipes.com/recipe/balsamic-and-herb-quinoa-salad/detail.aspx,http://allrecipes.com/recipe/corn-and-kale-salad/detail.aspx,http://allrecipes.com/recipe/easy-carrot-salad-indian-style/detail.aspx,http://allrecipes.com/recipe/insalata-tricolore/detail.aspx,http://allrecipes.com/recipe/crunchy-turkey-salad/detail.aspx,http://allrecipes.com/recipe/avocado-and-lobster-salad-2/detail.aspx;http://allrecipes.com/recipe/cucumber-peanut-salad/detail.aspx - http://allrecipes.com/recipe/thai-cucumber-tomato-salad/detail.aspx;http://allrecipes.com/recipe/cucumber-peanut-salad/detail.aspx
